"","Xt"
"1",-0.00825273698964649
"2",0.000880899785119647
"3",0.0208294828426468
"4",-0.0060808894423046
"5",-0.00984008511489472
"6",0.007308999209316
"7",-0.00765335383827158
"8",-0.00935114261452046
"9",0.00346583032090368
"10",0.0056394516860689
"11",-0.0112957582919221
"12",0.0150402087367264
"13",-0.0225969145306299
"14",-0.00778743400361137
"15",0.000814366234061447
"16",0.00793864851147246
"17",-0.00347196386441751
"18",-0.00929520136137176
"19",0.00430149583548254
"20",-0.0201987059460401
"21",0.0218765413240848
"22",0.0213851957884829
"23",0.0537676768336828
"24",-0.0187534868857823
"25",-0.0103019127091364
"26",-0.0218161794849266
"27",0.00827459452423833
"28",0.00254069325874938
"29",-0.0414763921856944
"30",0.0302171008812922
"31",0.00499408330039071
"32",-0.0233207780892945
"33",-0.0184723895110805
"34",-4.73914257596108e-05
"35",-0.010780358913092
"36",0.000846799429176249
"37",0.0473227663971672
"38",-0.0188209714679938
"39",0.011348019270443
"40",-0.00668799231070906
"41",-0.0167901388114854
"42",0.00129272270926334
"43",0.014670559430839
"44",-0.0168241114995276
"45",-0.0193628645392595
"46",9.37351725469142e-05
"47",-0.00425806403734875
"48",-0.0117437473836831
"49",-0.0313000624116617
"50",0.00223868632432794
"51",0.0196456649099237
"52",-0.00524336818574418
"53",-0.00363127668889812
"54",-0.00933564294642819
"55",0.00815813947039301
"56",0.0147260566890823
"57",-0.00453662331768391
"58",0.00476623410282838
"59",-0.015272447349405
"60",0.00517106181818791
"61",0.00487788666778125
"62",-0.0232625858473273
"63",-0.00276439624490537
"64",0.0253874410184071
"65",-0.00845882181418236
"66",-0.027646137527051
"67",-0.00022031817324653
"68",0.011784329746924
"69",-0.0116521410862587
"70",-0.0133883076752472
"71",-0.0262507738350278
"72",0.00144060548626966
"73",0.00233434238515744
"74",0.00404526444098624
"75",-0.00387520781493393
"76",-0.00479137821346123
"77",-0.0171939319017132
"78",0.00228925576652738
"79",-0.0133295760470576
"80",-0.00164352468244916
"81",-0.0122410908112734
"82",-0.00996711410676774
"83",0.023399522306741
"84",0.000123236052547198
"85",-0.022357686996683
"86",-0.0279855099116267
"87",-0.00654558441112467
"88",0.00143776992429421
"89",-0.000427552584801679
"90",-0.0114752015825178
"91",-0.00273324520419281
"92",-0.00788737894614941
"93",0.000915811599979578
"94",-0.00953611295111637
"95",0.00694332401221461
"96",-0.0118091548208416
"97",-0.00502964909315983
"98",0.0030372051395009
"99",0.011709732248378
"100",0.00449354209383135
"101",0.000878306114293522
"102",-0.0173817461617308
"103",0.00783912432684198
"104",-0.0133427961918588
"105",0.00220547656696319
"106",0.0116294925634296
"107",0.0179908234638166
"108",-0.00878748562704182
"109",-0.0145643109686411
"110",-0.019132119421539
"111",0.0140990842598022
"112",-0.00582751753670767
"113",-0.00849340580954928
"114",-0.00254486361405769
"115",-0.0135017183997632
"116",-0.0169730490843229
"117",-0.00196327898641014
"118",0.00239212714237604
"119",-0.00100032598698441
"120",0.00207336772354065
"121",-0.0161866424515861
"122",-0.000950194145118152
"123",-0.0196458996365121
"124",0.000379289802649874
"125",-0.00591746411704251
"126",-0.00727990269656256
"127",-0.022559998529763
"128",0.00976969398224027
"129",-0.00793687506175122
"130",0.00471412784487325
"131",-0.0159581705019548
"132",-0.0210183999773055
"133",-0.00225822089178665
"134",-0.0211390997713139
"135",0.013595184660503
"136",0.00429448757062374
"137",-0.0124485424813844
"138",-0.0110102071872181
"139",0.00679990134876171
"140",-0.00356294518293057
"141",-0.00480437424501891
"142",0.00288612933435659
